Swedish_Lemma,English_Lemma,Chinese_Lemma,POS,CEFR
lärlingskap,apprenticeship,学徒期,NOUN,B2
lämplig,appropriate,适当的,ADJ,B2
aprikos,apricot,杏,NOUN,B2
förkläde,apron,围裙,NOUN,B2
arabesk,arabesque,阿拉伯式花纹,NOUN,B2
godtycklig,arbitrary,任意的,ADJ,B2
arbitrera,to arbitrate,仲裁,VERB,B2
skiljedom,arbitration,仲裁,NOUN,B2
båge,arch,拱门,NOUN,B2
arkeologisk,archaeological,考古的,ADJ,B2
arkeologi,archaeology,考古学,NOUN,B2
arkaisk,archaic,古老的,ADJ,B2
arkaism,archaism,古语,NOUN,B2
ögrupp,archipelago,群岛,NOUN,B2
arkitekt,architect,建筑师,NOUN,B2
arkitektonisk,architectural,建筑的,ADJ,B2
arkitektur,architecture,建筑,NOUN,B2
glöd,ardor,热情,NOUN,B2
besvärlig,arduous,艰巨的,ADJ,B2
aristokrati,aristocracy,贵族阶层,NOUN,B2
aristokrat,aristocrat,贵族,NOUN,B2
rustning,armor,盔甲,NOUN,B2
uppväcka,to arouse,引起,VERB,B2
efterbetalning,arrears,欠款,NOUN,B2
övermod,arrogance,傲慢,NOUN,B2
övermodig,arrogant,傲慢的,ADJ,B2
konstgalleri,art gallery,美术馆,NOUN,B2
artär,artery,动脉,NOUN,B2
artikulera,to articulate,清晰表达,VERB,B2
list,artifice,诡计,NOUN,B2
astronaut,astronaut,宇航员,NOUN,B2
bacon,bacon,培根,NOUN,B2
dålig sak,bad thing,坏事,NOUN,B2
bagare,baker,面包师,NOUN,B2
balanserad,balanced,平衡的,ADJ,B2
skallig,bald,秃头的,ADJ,B2
ballett,ballet,芭蕾舞,NOUN,B2
kugelpenna,ballpoint pen,圆珠笔,NOUN,B2
förbjuda,to ban,禁止,VERB,B2
banalitet,banality,陈词滥调,NOUN,B2
band,band,乐队,NOUN,B2
utvisa,to banish,流放,VERB,B2
bankir,banker,银行家,NOUN,B2
bank,banking,银行的,ADJ,B2
bankett,banquet,宴会,NOUN,B2
barbaritet,barbarity,残暴,NOUN,B2
barfotad,barefoot,赤脚的,ADJ,B2
bjeffa,to bark,吠叫,VERB,B2
korn,barley,大麦,NOUN,B2
baronessa,baroness,女男爵,NOUN,B2
basalitet,baseness,卑鄙,NOUN,B2
basal,basic,基本的,ADJ,B2
basalt,basically,基本上,ADV,B2
basilika,basil,罗勒,NOUN,B2
basilika,basilica,大教堂,NOUN,B2
bäcken,basin,盆,NOUN,B2
bas,basis,基础,NOUN,B2
korg,basket,篮子,NOUN,B2
bas,bass,贝斯,NOUN,B2
fladdermus,bat,蝙蝠,NOUN,B2
bad,bath,洗澡,NOUN,B2
bataljon,battalion,营,NOUN,B2
vik,bay,海湾,NOUN,B2
kunna,to be able,能,VERB,B2
kunna,to be able to,能够,VERB,B2
frånvarande,to be absent,缺席,VERB,B2
beroende,to be addicted,上瘾,VERB,B2
modig,to be brave,勇善,VERB,B2
besegrad,to be defeated,会败,VERB,B2
iver,to be eager,心切,VERB,B2
iver efter,to be eager for,巴不得,VERB,B2
vald,to be elected,当选,VERB,B2
räcklig,to be enough,足够,VERB,B2
förtrollad,to be entranced,出神,VERB,B2
god på,to be good at,擅长,VERB,B2
tacksam,to be grateful,感激,VERB,B2
slagen,to be hit,中箭,VERB,B2
avundsjuk,to be jealous,嫉妒,VERB,B2
sen,to be late,迟到,VERB,B2
överbliven,to be left over,剩余,VERB,B2
på tjänst,to be on duty,值班,VERB,B2
ansvarig för,to be responsible for,负责,VERB,B2
rätt,to be right,正确,VERB,B2
säker,to be safe,安好,VERB,B2
så,to be so,然,VERB,B2
stulen,to be stolen,失窃,VERB,B2
överraskad,to be surprised,感到惊讶,VERB,B2
nyttig,to be useful,有用,VERB,B2
värd,to be worth,值得,VERB,B2
tåla,to bear,忍受,VERB,B2
uthärdlig,bearable,可忍受的,ADJ,B2
hållning,bearing,轴承,NOUN,B2
misshandel,beating,跳动,NOUN,B2
på grund av,because of,因为,ADP,B2
bibel,bible,圣经,NOUN,B2
bibliografi,bibliography,参考书目,NOUN,B2
bud,bid,出价,NOUN,B2
anbudssamverkan,bid collusion,串标,NOUN,B2
anbudsutvärdering,bid evaluation,评标,NOUN,B2
anbudsöppning,bid opening,开标,NOUN,B2
galla,bile,胆汁,NOUN,B2
biljard,billiards,台球,NOUN,B2
binär,binary,二进制的,ADJ,B2
bindning,binding,装订,NOUN,B2
biologisk mångfald,biodiversity,生物多样性,NOUN,B2
biografi,biography,传记,NOUN,B2
biologi,biology,生物学,NOUN,B2
biomassa,biomass,生物质,NOUN,B2
biopsi,biopsy,活检,NOUN,B2
bioteknik,biotechnology,生物技术,NOUN,B2
biskop,bishop,主教,NOUN,B2
bett,bite,一口,NOUN,B2
bitning,biting,尖刻的,ADJ,B2
bitterhet,bitterness,苦涩,NOUN,B2
bisarr,bizarre,奇异的,ADJ,B2
svartmarknad,black market,黑市,NOUN,B2
svart kåpa,black robe,黑衣,NOUN,B2
björnbär,blackberry,黑莓,NOUN,B2
tavla,blackboard,黑板,NOUN,B2
svärta,to blacken,变黑,VERB,B2
utpressa,to blackmail,勒索,VERB,B2
smed,blacksmith,铁匠,NOUN,B2
blad,blade,刀片,NOUN,B2
skuld,blame,责备,NOUN,B2
smaklös,bland,平淡的,ADJ,B2
brand,blaze,火焰,NOUN,B2
blekmedel,bleach,漂白剂,NOUN,B2
fläck,blemish,瑕疵,NOUN,B2
salighet,bliss,极乐,NOUN,B2
snöoväder,blizzard,暴风雪,NOUN,B2
blockera,blockade,封锁,NOUN,B2
blockera,to blockade,封锁,VERB,B2
blogg,blog,博客,NOUN,B2
blodskuld,blood debt,血债,NOUN,B2
blodhav,blood sea,血海,NOUN,B2
misslyckande,blot,污点,NOUN,B2
blus,blouse,女衬衫,NOUN,B2
blåbär,blueberry,蓝莓,NOUN,B2
rakt,bluntly,直率地,ADV,B2
slöa,to blur,模糊,VERB,B2
internat,boarding school,寄宿学校,NOUN,B2
skryt,boasting,夸耀,NOUN,B2
kroppslig,bodily,身体上的,ADJ,B2
panna,boiler,锅炉,NOUN,B2
kokning,boiling,沸腾,NOUN,B2
modig,bold,大胆的,ADJ,B2
mod,boldness,大胆,NOUN,B2
bombardera,to bombard,轰炸,VERB,B2
bombastisk,bombastic,夸大的,ADJ,B2
bombning,bombing,轰炸,NOUN,B2
ben,bone,骨头,NOUN,B2
benig,bony,瘦骨嶙峋的,ADJ,B2
broschyr,booklet,小册子,NOUN,B2
gräns,border,边境的,ADJ,B2
tråka,to bore,使厌烦,VERB,B2
tråkighet,boredom,无聊,NOUN,B2
lånare,borrower,借款人,NOUN,B2
lån,borrowing,借贷,NOUN,B2
båda,both,两者,PRON,B2
båda händer,both hands,双手,NOUN,B2
besvär,bother,麻烦,NOUN,B2
block,boulder,巨石,NOUN,B2
bunden,bound,一定的,ADJ,B2
borgerligheten,bourgeoisie,资产阶级,NOUN,B2
båge,bow,蝴蝶结,NOUN,B2
boxning,boxing,拳击,NOUN,B2
bojkotta,to boycott,抵制,VERB,B2
skryta,to brag,吹嘘,VERB,B2
broms,brake,刹车,NOUN,B2
gren,branch,分支,NOUN,B2
helt ny,brand new,崭新的,ADJ,B2
fräckhet,brazenness,厚颜无耻,NOUN,B2
överträdelse,breach,违反,NOUN,B2
bryta avtal,to breach contract,违约,VERB,B2
bryta ihop,to break down,分解,VERB,B2
bryta upp,to break open,撬开,VERB,B2
slita upp,to break up,破裂,VERB,B2
brytning,breakdown,故障,NOUN,B2
amma,to breastfeed,母乳喂养,VERB,B2
amning,breastfeeding,母乳喂养,NOUN,B2
ras,breed,品种,NOUN,B2
bris,breeze,微风,NOUN,B2
kortform,brevity,简洁,NOUN,B2
bryggeri,brewery,啤酒厂,NOUN,B2
bestyckning,bribe,贿赂,NOUN,B2
bestickning,bribery,贿赂,NOUN,B2
tegel,brick,砖,NOUN,B2
brudkammare,bridal chamber,洞房,NOUN,B2
skrift,brief,简短的,ADJ,B2
ljus,bright,明亮的,ADJ,B2
briljans,brilliance,辉煌,NOUN,B2
återbringa,to bring back,带回,VERB,B2
bärande,bringing,جلب,NOUN,B2
sända,to broadcast,播出,VERB,B2
sändning,broadcasting,广播,NOUN,B2
brokad,brocade,锦绣,NOUN,B2
mäkleri,brokerage,经纪业,NOUN,B2
brons,bronze,青铜,NOUN,B2
bäck,brook,小溪,NOUN,B2
kost,broom,扫帚,NOUN,B2
buljong,broth,肉汤,NOUN,B2
bordell,brothel,妓院,NOUN,B2
brödraskap,brotherhood,兄弟情谊,NOUN,B2
bläddra,to browse,浏览,VERB,B2
webbläsare,browser,浏览器,NOUN,B2
borste,brush,刷子,NOUN,B2
brutalisera,to brutalize,使变得残忍,VERB,B2
bock,buck,美元,NOUN,B2
hink,bucket,桶,NOUN,B2
grynhavre,buckwheat,荞麦,NOUN,B2
budgetmässig,budgetary,预算的,ADJ,B2
insekt,bug,虫子,NOUN,B2
massa,bulk,主体,NOUN,B2
buss,bully,欺凌者,NOUN,B2
bunt,bundle,捆,NOUN,B2
byrå,bureau,局,NOUN,B2
byråkrati,bureaucracy,官僚主义,NOUN,B2
inbrytare,burglar,窃贼,NOUN,B2
inbrott,burglary,入室盗窃罪,NOUN,B2
begravning,burial,埋葬,NOUN,B2
brännskada,burn,烧伤,NOUN,B2
pricka,to burp,打嗝,VERB,B2
brista,to burst,爆发,VERB,B2
buske,bush,灌木,NOUN,B2
affärs,business,商业的,ADJ,B2
affärsmöte,business meeting,洽谈会,NOUN,B2
rusning,bustle,喧闹,NOUN,B2
men,but,然而,ADV,B2
men jag,but i,可我,ADV,B2
men du,but you,但您,NOUN,B2
slaktare,butcher,屠夫,NOUN,B2
fjäril,butterfly,蝴蝶,NOUN,B2
skinkor,buttocks,屁股,NOUN,B2
med alla medel,by fair means or foul,不择手段,ADV,B2
genom,by means of,通过,ADP,B2
svunnen,bygone,过去的,ADJ,B2
bypass-operation,bypass surgery,搭桥手术,NOUN,B2
kabel,cable,电缆,NOUN,B2
katastrof,calamity,灾难,NOUN,B2
beräkna,to calculate,计算,VERB,B2
beräkning,calculation,计算,NOUN,B2
miniräknare,calculator,计算器,NOUN,B2
kalender,calendar,日历,NOUN,B2
kalv,calf,小腿,NOUN,B2
kalibrering,calibration,校准,NOUN,B2
samtal,call,电话,NOUN,B2
kalligrafi,calligraphy,书法,NOUN,B2
kallelse,calling,使命,NOUN,B2
okänslig,callous,冷酷,ADJ,B2
lugna,calm,平静,NOUN,B2
lugna,to calm,使平静,VERB,B2
lugn,calmness,平静,NOUN,B2
kamel,camel,骆驼,NOUN,B2
kampanja,to campaign,积极参与活动,VERB,B2
kan bara,can only,只能,AUX,B2
kan inte tro,to can't believe,不敢相信,VERB,B2
kan inte låta bli,can't help,不由得,ADV,B2
kanal,canal,运河,NOUN,B2
ställa in,to cancel,取消,VERB,B2
avbokning,cancellation,取消,NOUN,B2
kandidatur,candidacy,候选资格,NOUN,B2
kassa,cash,现金,ADJ,B2
kassa,to cash,兑现,VERB,B2
kassaapparat,cash register,收银机,NOUN,B2
kashot,cashew,腰果,NOUN,B2
kasmér,cashmere,羊绒,NOUN,B2
manoknöl,cassava,木薯,NOUN,B2
slarvig,casual,随意的,ADJ,B2
katalog,catalog,目录,NOUN,B2
katalysator,catalyst,催化剂,NOUN,B2
katastrof,catastrophe,大灾难,NOUN,B2
fångst,catch,捕捉,NOUN,B2
komma ikapp,to catch up,赶上,VERB,B2
kategorisering,categorization,分类,NOUN,B2
kategorisera,to categorize,分类,VERB,B2
kategori,category,类别,NOUN,B2
katharsis,catharsis,宣泄,NOUN,B2
katedral,cathedral,大教堂,NOUN,B2
katolicism,catholicism,天主教,NOUN,B2
gulröt,cauliflower,花椰菜,NOUN,B2
kausalitet,causality,因果关系,NOUN,B2
orsakande,causation,因果关系,NOUN,B2
försiktighet,caution,谨慎,NOUN,B2
försiktig,cautious,小心的,ADJ,B2
försiktig och samvetsgrann,cautious and conscientious,兢兢业业,ADJ,B2
kavalleri,cavalry,骑兵,NOUN,B2
gäspa,to caw,呱呱叫,VERB,B2
tak,ceiling,天花板,NOUN,B2
firande,celebration,庆祝,NOUN,B2
selleri,celery,芹菜,NOUN,B2
celibat,celibacy,独身,NOUN,B2
cell,cell,细胞,NOUN,B2
mobiltelefon,cell phone,手机,NOUN,B2
källare,cellar,地窖,NOUN,B2
cellulär,cellular,细胞的,ADJ,B2
cementera,to cement,巩固,VERB,B2
centralisering,centralization,集中化,NOUN,B2
centrifugalkraft,centrifugal force,离心力,NOUN,B2
centrifug,centrifuge,离心机,NOUN,B2
keramik,ceramics,陶瓷,NOUN,B2
ceremonimössa,ceremonial cap,爵弁,NOUN,B2
säker,certain,确定的,ADJ,B2
säkerhet,certainty,确定性,NOUN,B2
fortjänstbevis,certificate of merit,奖状,NOUN,B2
intyga,to certify,证明,VERB,B2
upphörande,cessation,终止,NOUN,B2
ordförande,chairman,主席,NOUN,B2
kreda,chalk,粉笔,NOUN,B2
kammare,chamber,房间,NOUN,B2
champagne,champagne,香槟,NOUN,B2
mästare,champion,冠军,NOUN,B2
mästerskap,championship,锦标赛,NOUN,B2
kansler,chancellor,总理,NOUN,B2
byta däck,to change tire,换胎,VERB,B2
ändrad politik,changed policy,改策,NOUN,B2
kanalisera,to channel,疏导,VERB,B2
kaotisk,chaotic,混乱的,ADJ,B2
kapell,chapel,小教堂,NOUN,B2
tecken,character word,字,NOUN,B2
karakteristisk,characteristic,典型的,ADJ,B2
kol,charcoal,木炭,NOUN,B2
ladda,charge,收费,NOUN,B2
ladda,to charge,充电,VERB,B2
laddare,charger,充电器,NOUN,B2
karisma,charisma,个人魅力,NOUN,B2
karta,chart,图表,NOUN,B2
chartra,to charter,租船,VERB,B2
jaga,chase,追逐,NOUN,B2
jaga,to chase,追逐,VERB,B2
kysklighet,chastity,贞洁,NOUN,B2
chatta,to chat,聊天,VERB,B2
chattera,to chatter,喋喋不休,VERB,B2
kassa,checkout,收银台,NOUN,B2
kind,cheek,脸颊,NOUN,B2
muntra upp,to cheer up,使高兴,VERB,B2
skål,cheers,干杯,INTJ,B2
kemikalie,chemical,化学品,NOUN,B2
skärja,to cherish,珍爱,VERB,B2
körsbär,cherry,樱桃,NOUN,B2
bröstkorg,chest,胸部,NOUN,B2
bröstsmärta,chest pain,胸痛,NOUN,B2
kastanj,chestnut,板栗,NOUN,B2
chilipeppar,chili pepper,辣椒,NOUN,B2
skorsten,chimney,烟囱,NOUN,B2
kinesiska,chinese language,华文,NOUN,B2
kvittra,to chirp,啁啾,VERB,B2
mejsel,chisel,凿子,NOUN,B2
ridderlighet,chivalry,骑士精神,NOUN,B2
kör,choir,合唱团,NOUN,B2
kolesterol,cholesterol,胆固醇,NOUN,B2
kromosom,chromosome,染色体,NOUN,B2
kronisk,chronic,慢性的,ADJ,B2
kanel,cinnamon,肉桂,NOUN,B2
krets,circuit,电路,NOUN,B2
omskärelse,circumcision,割礼,NOUN,B2
omskriva,to circumscribe,限制,VERB,B2
citat,citation,引用,NOUN,B2
citera,to cite,引用,VERB,B2
medborgarskap,citizenship,公民身份,NOUN,B2
tjänsteman,civil servant,公务员,NOUN,B2
oväsen,clamor,喧嚣,NOUN,B2
klemma,clamp,夹钳,NOUN,B2
hemlig,clandestine,秘密的,ADJ,B2
klappa,to clap,拍手,VERB,B2
klargörande,clarification,澄清,NOUN,B2
tydlighet,clarity,清晰,NOUN,B2
klassisk,classical,古典的,ADJ,B2
klassicism,classicism,古典主义,NOUN,B2
klassificering,classification,分类,NOUN,B2
stycke,classifier for paintings cloth etc.,幅,NUM,B2
stam,classifier for trees,棵,NUM,B2
klassificera,to classify,分类,VERB,B2
klasskamrat,classmate,同学,NOUN,B2
klassrum,classroom,教室,NOUN,B2
städa,to clean up,清理,VERB,B2
renlighet,cleanliness,清洁,NOUN,B2
rengöring,cleansing,清洗,NOUN,B2
insikt,clear knowledge,明知,NOUN,B2
klarsoppa,clear soup,江瑶清羹,NOUN,B2
tydlig,clear-cut,明确的,ADJ,B2
rydning,clearing,林中空地,NOUN,B2
tydligt,clearly,清楚地,ADV,B2
avgränsad,clearly demarcated,分明,ADJ,B2
klyva,to cleave,劈开,VERB,B2
klerus,clergy,神职人员,NOUN,B2
klok,clever,聪明的,ADJ,B2
kliché,cliche,陈词滥调,NOUN,B2
klicka,to click,点击,VERB,B2
klientelism,clientelism,庇护主义,NOUN,B2
klimat,climate,气候,NOUN,B2
klimatförändring,climate change,气候变化,NOUN,B2
klimax,climax,高潮,NOUN,B2
fästa,to cling,紧贴,VERB,B2
klinisk,clinical,临床的,ADJ,B2
klipp,clip,夹子,NOUN,B2
kappa,cloak,斗篷,NOUN,B2
garderob,cloakroom,衣帽间,NOUN,B2
klon,clone,克隆体,NOUN,B2
tät,close,近的,ADJ,B2
avsluta,to close account,销户,VERB,B2
stänga,to close the door,关门,VERB,B2
skåp,closet,壁橱,NOUN,B2
avslutningsceremoni,closing ceremony,闭幕仪式,NOUN,B2
stängning,closure,关闭,NOUN,B2
propp,clot,凝块,NOUN,B2
tyg,cloth,布,NOUN,B2
kläder,clothing,服装,NOUN,B2
molnig,cloudy,阴沉的,ADJ,B2
klovne,clown,小丑,NOUN,B2
klumpig,clumsy,笨拙的,ADJ,B2
kluster,cluster,簇,NOUN,B2
koppling,clutch,离合器,NOUN,B2
coacha,coach,教练,NOUN,B2
coacha,to coach,辅导,VERB,B2
grov,coarse,粗糙的,ADJ,B2
övertalning,coaxing,哄得,NOUN,B2
koefficient,coefficient,系数,NOUN,B2
tvång,coercion,胁迫,NOUN,B2
koexistera,to coexist,共存,VERB,B2
koexistens,coexistence,共存,NOUN,B2
sammanhang,coherence,连贯性,NOUN,B2
sammanhängande,coherent,连贯的,ADJ,B2
sammanhållning,cohesion,凝聚力,NOUN,B2
sammanfalla,to coincide,同时发生,VERB,B2
sil,colander,漏勺,NOUN,B2
kallt blod,cold blood,冷血,NOUN,B2
kallvåg,cold wave,寒潮,NOUN,B2
kallt,coldly,冷淡地,ADV,B2
samarbeta,to collaborate,合作,VERB,B2
samarbete,collaboration,合作,NOUN,B2
samarbetare,collaborator,合作者,NOUN,B2
kommentator,commentator,评论员,NOUN,B2
handel,commerce,商业,NOUN,B2
komersiell,commercial,商业的,ADJ,B2
kommission,commission,委员会,NOUN,B2
göra ett brott,to commit a crime,犯罪,VERB,B2
engagerad,committed,投入的,ADJ,B2
vara,commodity,商品,NOUN,B2
gemensamhet,commonality,共同点,NOUN,B2
bonde,commoner,平民,NOUN,B2
upprör,commotion,骚动,NOUN,B2
kommuniké,communique,公报,NOUN,B2
kommunism,communism,共产主义,NOUN,B2
kommunistisk,communist,شيوعي,ADJ,B2
kommunitarism,communitarianism,社群主义,NOUN,B2
gemenskap,community,社区,NOUN,B2
kompakt,compact,紧凑的,ADJ,B2
kamratskap,companionship,陪伴,NOUN,B2
avdelning,compartment,隔间,NOUN,B2
kompass,compass,指南针,NOUN,B2
medkänsla,compassion,同情,NOUN,B2
medkännande,compassionate,有同情心的,ADJ,B2
kompatibilitet,compatibility,兼容性,NOUN,B2
landsman,compatriot,同胞,NOUN,B2
tvinga,to compel,强迫,VERB,B2
ersättningsledighet,compensatory leave,调休,NOUN,B2
kompetent,competent,胜任的,ADJ,B2
konkurrenskraft,competitiveness,竞争力,NOUN,B2
konkurrent,competitor,竞争者,NOUN,B2
sammanställning,compilation,汇编,NOUN,B2
komplementär,complementary,互补的,ADJ,B2
slutförande,completion,完成,NOUN,B2
komplex,complex,复杂的,ADJ,B2
komplexitet,complexity,复杂性,NOUN,B2
efterlevnad,compliance,合规,NOUN,B2
efterlevande,compliant,符合的,ADJ,B2
komplikera,to complicate,使复杂化,VERB,B2
medskyldig,complicit,共谋的,ADJ,B2
medskyldighet,complicity,共犯,NOUN,B2
lyda,to comply,遵守,VERB,B2
följa,to comply with,遵守,VERB,B2
komponent,component,组成部分,NOUN,B2
komponera,to compose,组成,VERB,B2
samlad,composed,稳重的,ADJ,B2
kompositör,composer,作曲家,NOUN,B2
komposition,composition,作文,NOUN,B2
kompost,compost,堆肥,NOUN,B2
samladhet,composure,镇定,NOUN,B2
förening,compound,复合性,ADJ,B2
förstå,to comprehend,理解,VERB,B2
förståelse,comprehension,理解,NOUN,B2
komprimera,to compress,压缩,VERB,B2
kompressor,compressor,压缩机,NOUN,B2
kompromissa,to compromise,危及,VERB,B2
kompulsiv,compulsive,强迫性的,ADJ,B2
beräkna,to compute,计算,VERB,B2
beräkning,computing,计算机科学,NOUN,B2
dölja,to conceal,隐藏,VERB,B2
doldhet,concealment,隐瞒,NOUN,B2
självbelåten,conceited,自负的,ADJ,B2
tanka,to conceive,构想,VERB,B2
gälla,concern,担忧,NOUN,B2
gälla,to concern,涉及,VERB,B2
koncession,concession,让步,NOUN,B2
koncis,concise,简洁的,ADJ,B2
avsluta,to conclude,得出结论,VERB,B2
avgörande,conclusive,决定性的,ADJ,B2
betong,concrete,具体的,ADJ,B2
konkubin,concubine,妾,NOUN,B2
följaktligen,consequently,因此,ADV,B2
bevarande,conservation,保护,NOUN,B2
konservativ,conservative,保守的,ADJ,B2
