Arabic_Lemma,English_Lemma,Chinese_Lemma,POS
جادّ,serious,严肃的,ADJ
اجْتِماعِيّ,sociable,好交际的,ADJ
خَجُول,shy,害羞的,ADJ
أَمِين,trustworthy,可靠的,ADJ
واثِق,confident,自信的,ADJ
أما,as for,至于,PART
خصوصا,especially,特别地,ADV
عموما,generally,通常,ADV
أخيرا,finally,最后,ADV
أولا,firstly,首先,ADV
ثانيا,secondly,其次,ADV
مباشرة,directly,直接地,ADV
كفاية,enough,够了,ADV
رغم,despite,尽管,ADP
بالكامل,at all,完全,ADV
بالضبط,exactly,确切地,ADV
باختصار,in short,简而言之,ADV
بيننا,between us,我们之间,ADP
بالفعل,already,已经,ADV
كلية,faculty,学院,NOUN
معهد,institute,研究所,NOUN
مادة,subject,科目,NOUN
اختبار,test,测试,NOUN
معدل,average,平均,NOUN
ثانوية,high school,高中,NOUN
إعدادية,middle school,初中,NOUN
مسطرة,ruler,尺子,NOUN
ممحاة,eraser,橡皮,NOUN
قواعد,grammar,语法,NOUN
نطق,pronunciation,发音,NOUN
تركيز,concentration,专注,NOUN
ركز,to concentrate,集中,VERB
غياب,absence,缺席,NOUN
تقدم,progress,进步,NOUN
تخصص,specialization,专业,NOUN
زميل,classmate,同学,NOUN
ملخص,summary,总结,NOUN
مراجعة,revision,复习,NOUN
راجع,to review,复习,VERB
حصة,class session,课时,NOUN
جدول,timetable,时间表,NOUN
عقاب,punishment,惩罚,NOUN
تعليم,education,教育,NOUN
قراءة,reading,阅读,NOUN
مهنة,profession,职业,NOUN
عامل,worker,工人,NOUN
صانع,craftsman,工匠,NOUN
ممرض,nurse,护士,NOUN
محاسب,accountant,会计师,NOUN
مترجم,translator,翻译员,NOUN
تقني,technician,技术员,NOUN
كهربائي,electrician,电工,NOUN
مصور,photographer,摄影师,NOUN
إمام,imam,伊玛目,NOUN
سكرتير,secretary,秘书,NOUN
خبرة,experience,经验,NOUN
مهارة,skill,技能,NOUN
وظيفة,job,工作,NOUN
شريك,partner,伙伴,NOUN
مهمة,task,任务,NOUN
زيادة,raise,加薪,NOUN
صيام,fasting,斋戒,NOUN
خطوبة,engagement,订婚,NOUN
خطب,to get engaged,订婚,VERB
تقاليد,traditions,传统,NOUN
عادة,custom,习俗,NOUN
سهرة,evening party,晚会,NOUN
ذكرى,anniversary,周年纪念,NOUN
عطر,perfume,香水,NOUN
مشوي,grilled,烤的,ADJ
وصفة,recipe,食谱,NOUN
كمية,quantity,数量,NOUN
دقيق,flour,面粉,NOUN
مقلي,fried,油炸的,ADJ
مسلوق,boiled,水煮的,ADJ
صيدلية,pharmacy,药房,NOUN
ضغط,blood pressure,血压,NOUN
فيتامين,vitamin,维生素,NOUN
نظافة,hygiene,卫生,NOUN
نصيحة,advice,建议,NOUN
عيادة,clinic,诊所,NOUN
راحة,rest,休息,NOUN
شراب,syrup,糖浆,NOUN
تدخين,smoking,吸烟,NOUN
دخن,to smoke,吸烟,VERB
عجلة,wheel,车轮,NOUN
محرك,engine,发动机,NOUN
عربة,cart,手推车,NOUN
ممنوع,forbidden,禁止的,ADJ
مسموح,allowed,允许的,ADJ
مقارنة,comparison,比较,NOUN
سبب,reason,原因,NOUN
قرار,decision,决定,NOUN
اختيار,choice,选择,NOUN
حظ,luck,运气,NOUN
صدفة,coincidence,巧合,NOUN
خطر,danger,危险,NOUN
آمن,safe,安全的,ADJ
اقتصاد,economy,经济,NOUN
سياسة,politics,政治,NOUN
مجتمع,society,社会,NOUN
جيران,neighbors,邻居,NOUN
مجاناً,free of charge,免费,ADV
فرشاة,brush,刷子,NOUN
سلّم,ladder,梯子,NOUN
مكسور,broken,破碎的,ADJ
قبلة,kiss,吻,NOUN
أصحاب,friends,朋友,NOUN
غائم,cloudy,多云的,ADJ
لباس,outfit,服装,NOUN
مرّ,to pass by,经过,VERB
أمسك,to catch,抓住,VERB
قضى,to spend time,度过,VERB
بلدي,local,本地的,ADJ
زائد,extra,额外的,ADJ
بشر,human being,人类,NOUN
كريم,cream,乳霜,NOUN
شامبو,shampoo,洗发水,NOUN
سياسي,political,政治的,ADJ
اقتصادي,economic,经济的,ADJ
اجتماعي,social,社会的,ADJ
ثقافي,cultural,文化的,ADJ
تجاري,commercial,商业的,ADJ
دولي,international,国际的,ADJ
وطني,national,国家的,ADJ
محلي,local,地方的,ADJ
شخصي,personal,个人的,ADJ
تاريخي,historical,历史的,ADJ
جغرافي,geographical,地理的,ADJ
طبيعي,natural,自然的,ADJ
فني,technical,技术的,ADJ
عادل,fair,公正的,ADJ
ضروري,necessary,必要的,ADJ
مستحيل,impossible,不可能的,ADJ
خاطئ,wrong,错误的,ADJ
بسيط,simple,简单的,ADJ
ثانوي,secondary,次要的,ADJ
أساسي,basic,基本的,ADJ
رئيسي,main,主要的,ADJ
عام,general,一般的,ADJ
مشترك,shared,共同的,ADJ
مختلف,different,不同的,ADJ
متشابه,similar,相似的,ADJ
متساوي,equal,平等的,ADJ
ناقص,incomplete,不完整的,ADJ
إضافي,additional,额外的,ADJ
دائم,permanent,永久的,ADJ
حالي,current,当前的,ADJ
سابق,previous,先前的,ADJ
نادر,rare,稀有的,ADJ
مستمر,continuous,持续的,ADJ
بطيء,slow,慢的,ADJ
ثقيل,heavy,重的,ADJ
قصير,short,短的,ADJ
عالي,high,高的,ADJ
منخفض,low,低的,ADJ
ناعم,smooth,光滑的,ADJ
جاف,dry,干的,ADJ
ممطر,rainy,多雨的,ADJ
مشمس,sunny,阳光明媚的,ADJ
صاف,clear,晴朗的,ADJ
نور,light,光,NOUN
ظل,shadow,阴影,NOUN
زاوية,angle,角度,NOUN
دائرة,circle,圆,NOUN
مربع,square,正方形,NOUN
مثلث,triangle,三角形,NOUN
نسبة,percentage,比例,NOUN
ساحل,coast,海岸,NOUN
وادي,valley,山谷,NOUN
محيط,ocean,海洋,NOUN
أمواج,waves,海浪,NOUN
سحاب,clouds,云层,NOUN
توقعات,forecast,预报,NOUN
مناسبة,occasion,场合,NOUN
حدث,event,事件,NOUN
حادثة,incident,事故,NOUN
مقدمة,introduction,引言,NOUN
موضوع,topic,主题,NOUN
فكرة,idea,想法,NOUN
شاهد,witness,证人,NOUN
موافقة,approval,同意,NOUN
رفض,refusal,拒绝,NOUN
قبول,acceptance,接受,NOUN
حل,solution,解决方案,NOUN
صعوبة,difficulty,困难,NOUN
تحدي,challenge,挑战,NOUN
نجاح,success,成功,NOUN
فشل,failure,失败,NOUN
جودة,quality,质量,NOUN
ربح,profit,利润,NOUN
قيمة,value,价值,NOUN
عرض,supply,供应,NOUN
طلب,demand,需求,NOUN
صاحب العمل,employer,雇主,NOUN
كما,as,正如 / 如同,CCONJ
رؤية,vision,愿景 / 视野,NOUN
حين,when,当...之时,ADV
سار,to walk,行走 / 行进,VERB
عانى,to suffer,遭受 / 忍受,VERB
كلام,speech,话语 / 言语,NOUN
بقي,to remain,停留 / 保持,VERB
مدى,range / extent,范围 / 程度,NOUN
إنسان,human,人 / 人类,NOUN
أخبر,to tell,告知 / 告诉,VERB
غادر,to leave,离开,VERB
ليلي,nocturnal,夜间的,ADJ
زمن,time,时间 / 时代,NOUN
كفى,to suffice,足够,VERB
صنع,to make,制造 / 制作,VERB
مسلم,Muslim,穆斯林,NOUN
ممارسة,practice,实践 / 从事,NOUN
نظرة,look / glance,目光 / 观点,NOUN
مليار,billion,十亿,NOUN
حشرة,insect,昆虫,NOUN
رحلة,journey,旅行 / 旅程,NOUN
تحول,transformation,转变 / 转型,NOUN
عالمي,global,全球的 / 世界性的,ADJ
فرد,individual,个人 / 个体,NOUN
تحرك,to move,移动 / 行动,VERB
مشاهدة,viewing,观看 / 观赏,NOUN
خطة,plan,计划,NOUN
أحسن,to improve / better,改善 / 做好,VERB
جاد,earnest / serious,严肃的 / 认真的,ADJ
أخرج,to take out / produce,拿出 / 导演,VERB
ضاع,to be lost,丢失 / 迷失,VERB
قلب,to turn / overturn,翻转 / 翻动,VERB
عديد,many / numerous,众多的 / 许多的,ADJ
تفكير,thinking,思考 / 思想,NOUN
أطول,longer / longest,更长的,ADJ
أخير,last,最后的,ADJ
صخر,rock,岩石,NOUN
أعلى,higher / highest,更高的 / 上部的,ADJ
ٱكتشف,to discover,发现,VERB
حصل,to happen / obtain,发生 / 获得,VERB
ٱختفى,to disappear,消失,VERB
أقل,less / fewer,更少的,ADJ
حقيقة,truth,真理 / 事实,NOUN
توقف,stop / cessation,停止 / 中断,NOUN
أكمل,to complete,完成,VERB
أعد,to prepare,准备,VERB
ملك,to own,拥有,VERB
ود,to wish / love,希望 / 喜爱,VERB
أيها,O,啊 / 噢,PART
حان,to arrive (time),（时间）到了,VERB
جالس,sitting,坐着的,ADJ
صفة,attribute / adjective,特征 / 形容词,NOUN
ٱستمتع,to enjoy,享受,VERB
حادث,accident,事故,NOUN
بِطَاقَة,card,卡片,NOUN
مصنع,factory,工厂,NOUN
فترة,period,时期,NOUN
حفل,ceremony,典礼,NOUN
احتفال,celebration,庆祝,NOUN
دعوة,invitation,邀请,NOUN
بالخصوص,in particular,特别地,ADV
فعلا,indeed,确实,ADV
محبة,love,爱,NOUN
جمال,beauty,美,NOUN
حمى,fever,发烧,NOUN
دماغ,brain,大脑,NOUN
جغرافيا,geography,地理,NOUN
منطقة,region,地区,NOUN
رياضيات,mathematics,数学,NOUN
تخفيضات,discounts,折扣,NOUN
تَمَارِين,exercises,锻炼,NOUN
مَوَاعِيد,appointments,预约,NOUN
حَالَة,condition,状况,NOUN
ٱنتهى,to end,ٱنتهى,VERB
مرض,to fall ill,مرض,VERB
خروج,exit,خروج,NOUN
ٱستخدام,use,ٱستخدام,NOUN
ٱختار,to choose,ٱختار,VERB
مدة,period,مدة,NOUN
خاص,special,خاص,ADJ
متجر,store,متجر,NOUN
جرب,trial,试验,NOUN
حالة,condition,状况,NOUN
دواء,medicine,药物,NOUN
كنيسة,church,教堂,NOUN
مبنى,building,建筑物,NOUN
محظوظ,lucky,幸运的,ADJ
مخيف,frightening,,ADJ
مريح,comfortable,舒适的,ADJ
مزعج,annoying,烦人的,ADJ
مناسب,suitable,合适的主题,ADJ
نبتة,plant,植物,NOUN
هاتفي,telephone,,ADJ
واصل,to continue,继续,VERB
وحش,monster,怪兽,NOUN
يومي,daily,每日的,ADJ
آنسة,miss,小姐,NOUN
خَصْم,discount,折扣,NOUN
أرملة,widow,寡妇,NOUN
عازب,single,单身的,ADJ
خمن,to guess,猜测,VERB
مربوط,frugal,节俭的,ADJ
تحلية,dessert,甜点,NOUN
نكهة,flavor,味道,NOUN
طعم,bait,鱼饵,NOUN
أنيق,elegant,优雅的,ADJ
رَجِيم,diet,节食,NOUN
مزاح,joking,开玩笑,NOUN
منديل,handkerchief,手帕,NOUN
قشرة,peel,皮,NOUN
تدليك,massage,按摩,NOUN
طاهي,cook,厨师,NOUN
طهى,to cook,烹饪,VERB
مدهش,amazing,令人惊叹的,ADJ
مذهل,stunning,令人震惊的,ADJ
مزح,to joke,玩笑,VERB
إيصال,receipt,收据,NOUN
سياج,fence,栅栏,NOUN
قبو,basement,地下室,NOUN
ضمادة,bandage,绷带,NOUN
جرثومة,germ,病菌,NOUN
جفن,eyelid,眼睑,NOUN
انحنى,to bend,弯腰,VERB
تتبيلة,marinade,腌料,NOUN
صنارة,fishing rod,钓竿,NOUN
محار,oysters,牡蛎,NOUN
بحارة,sailors,水手,NOUN
سباك,plumber,水管工,NOUN
سباكة,plumbing,管道工程,NOUN
حصير,mat,席子,NOUN
مرجان,coral,珊瑚,NOUN
قش,straw,稻草,NOUN
تبن,hay,干草,NOUN
رذاذ,drizzle,毛毛雨,NOUN
فتات,crumbs,面包屑,NOUN
تثاءب,yawn,打哈欠,VERB
تنهد,sigh,叹气,VERB
فرك,rub,摩擦,VERB
غمس,dip,浸,VERB
رَكَلَ,kick,踢,VERB
مرأب,garage,,NOUN
لثة,gum,牙龈,NOUN
ببغاء,parrot,,NOUN
مُهَنْدِس,engineer,工程师,NOUN
بطل,hero / champion,英雄 / 冠军,NOUN
مشاعر,feelings / emotions,情感 / 感受,NOUN
مليء,full / packed,充满的,ADJ
عجيب,strange / marvelous,奇妙的 / 奇怪的,ADJ
كسب,to earn / gain,赢得 / 赚取,VERB
مقابل,in exchange for / opposite,对面 / 报酬,NOUN
مرح,joy / fun,欢乐 / 愉快,NOUN
جمهورية,republic,共和国,NOUN
نفق,tunnel,隧道,NOUN
شرط,condition,条件,NOUN
إيجار,lease,租赁,NOUN
قَانُون,law,法律,NOUN
مَسْدُود,blocked,堵塞的,ADJ
جذر,root,根,NOUN
بذرة,seed,种子,NOUN
رطوبة,humidity,湿度,NOUN
دفء,warmth,温暖,NOUN
عيب,defect,缺陷,NOUN
فاق,to recover,苏醒,VERB
قبض,to grab,抓住,VERB
اختبأ,to hide,隐藏,VERB
حقق,to achieve,实现,VERB
مرشد,guide,导游,NOUN
وجهة,destination,目的地,NOUN
مخيم,camp,营地,NOUN
أمتعة,luggage,行李,NOUN
تلفريك,cable car,缆车,NOUN
منتجع,resort,度假村,NOUN
شاليه,chalet,小木屋,NOUN
مظلة,parasol,遮阳伞,NOUN
غطس,diving,潜水,NOUN
استكشف,explore,探索,VERB
ضيافة,hospitality,好客,NOUN
واحة,oasis,绿洲,NOUN
مغامرة,adventure,冒险,NOUN
إقلاع,takeoff,起飞,NOUN
استعلامات,information desk,问询处,NOUN
صومعة,minaret,宣礼塔,NOUN
ضريح,mausoleum,陵墓,NOUN
بازار,bazaar,集市,NOUN
تذكار,souvenir,纪念品,NOUN
تخييم,camping,露营,NOUN
بوصلة,compass,指南针,NOUN
عبارة,ferry,渡轮,NOUN
تيرمينال,terminal,航站楼,NOUN
إشهار,advertising,广告业,NOUN
مذيع,presenter,播音员,NOUN
تصفيق,applause,掌声,NOUN
كوميدي,comedian,喜剧演员,NOUN
ترفيه,entertainment,娱乐,NOUN
وثائقي,documentary,纪录片,ADJ
شرير,villain,反派,NOUN
سيناريو,script,剧本,NOUN
بودكاست,podcast,播客,NOUN
سيرك,circus,马戏团,NOUN
كرنفال,carnival,狂欢节,NOUN
بث,broadcast,广播,NOUN
إيقاع,rhythm,节奏,NOUN
لحن,melody,旋律,NOUN
كمان,violin,小提琴,NOUN
غيتار,guitar,吉他,NOUN
طبل,drum,鼓,NOUN
مونتاج,editing,剪辑,NOUN
دراما,drama,戏剧,NOUN
تشويق,suspense,悬念,NOUN
نقد,criticism,批评,NOUN
ناقد,critic,评论家,NOUN
مؤلف,author,作者,NOUN
أرشيف,archive,档案,NOUN
شهرة,fame,名声,NOUN
عداء,runner,跑步者,NOUN
يوغا,yoga,瑜伽,NOUN
جيم,gym,健身房,NOUN
لياقة,fitness,健身,NOUN
تعادل,draw,平局,NOUN
صافرة,whistle,哨子,NOUN
شوط,half of a match,半场,NOUN
مضرب,racket,球拍,NOUN
شطرنج,chess,国际象棋,NOUN
تسلية,pastime,消遣,NOUN
نزهة,outing,郊游,NOUN
جمباز,gymnastics,体操,NOUN
ملاكمة,boxing,拳击,NOUN
مصارعة,wrestling,摔跤,NOUN
كاراتيه,karate,空手道,NOUN
تزلج,skiing,滑雪,NOUN
فروسية,equestrianism,马术,NOUN
بديل,substitute,替补,NOUN
تبديل,substitution,替换,NOUN
إحماء,warm-up,热身,NOUN
منافس,opponent,对手,NOUN
ميدالية,medal,奖牌,NOUN
أولمبياد,Olympics,奥运会,NOUN
استرخاء,relaxation,放松,NOUN
نفايات,waste,废物,NOUN
تدوير,recycling,回收利用,NOUN
فيضان,flood,洪水,NOUN
زلزال,earthquake,地震,NOUN
شلال,waterfall,瀑布,NOUN
ساقية,irrigation canal,灌溉渠,NOUN
منبع,source,来源,NOUN
غزال,gazelle,瞪羚,NOUN
صقر,falcon,猎鹰,NOUN
نسر,eagle,鹰,NOUN
جرادة,grasshopper,蚱蜢,NOUN
صبار,cactus,仙人掌,NOUN
غصن,branch,树枝,NOUN
سماد,fertilizer,肥料,NOUN
محمية,nature reserve,自然保护区,NOUN
حصاد,harvest,收获,NOUN
شعير,barley,大麦,NOUN
صنوبر,pine,松树,NOUN
أرز,cedar,雪松,NOUN
بلوط,oak,橡树,NOUN
خفاش,bat,蝙蝠,NOUN
بومة,owl,猫头鹰,NOUN
غراب,crow,乌鸦,NOUN
لقلق,stork,鹳,NOUN
دلفين,dolphin,海豚,NOUN
بيئي,ecological,生态的,ADJ
ملوث,polluted,受污染的,ADJ
كسوف,eclipse,日食或月食,NOUN
تساقطات,precipitation,降水量,NOUN
مقاطعة,province,省,NOUN
مطبوع,printed form,表格,NOUN
ازدياد,increase,增加,NOUN
طلاق,divorce,离婚,NOUN
طابع,stamp,邮票,NOUN
طابور,queue,队列,NOUN
ضريبة,tax,税,NOUN
غرامة,fine,罚款,NOUN
درب,alley,小巷,NOUN
إنارة,street lighting,路灯照明,NOUN
قانوني,legal,合法的,ADJ
تصويت,voting,投票,NOUN
نقابة,trade union,工会,NOUN
إضراب,strike,罢工,NOUN
احتجاج,protest,抗议,NOUN
شكاية,complaint,投诉,NOUN
مصلحة,department,部门,NOUN
طرد,package,包裹,NOUN
حوالة,money transfer,汇款,NOUN
قرض,loan,贷款,NOUN
ضجيج,noise,噪音,NOUN
مصادقة,certification,认证,NOUN
تجديد,renewal,更新,NOUN
صلاحية,validity,有效期,NOUN
انتهاء,expiry,到期,NOUN
إجراء,procedure,程序,NOUN
شريحة,SIM card,SIM 卡,NOUN
متابع,follower,关注者,NOUN
رصيد,phone credit,话费余额,NOUN
متصفح,browser,浏览器,NOUN
قرصنة,hacking,黑客攻击,NOUN
احتيال,scam,诈骗,NOUN
خصوصية,privacy,隐私,NOUN
بيانات,data,数据,NOUN
إشعار,notification,通知,NOUN
تخزين,storage,存储,NOUN
نقر,to click,点击,VERB
غيرة,jealousy,嫉妒,NOUN
غيور,jealous,嫉妒的,ADJ
حسد,envy,羡慕,NOUN
ملول,bored,厌倦的,ADJ
مقتنع,convinced,信服的,ADJ
صدمة,shock,震惊,NOUN
مقهور,oppressed,受压迫的,ADJ
لام,to blame,责备,VERB
سب,to insult,辱骂,VERB
انطباع,impression,印象,NOUN
خلاف,disagreement,分歧,NOUN
حمق,foolishness,愚蠢,NOUN
متكبر,arrogant,傲慢的,ADJ
متواضع,modest,谦虚的,ADJ
حنون,affectionate,深情的,ADJ
عنيد,stubborn,固执的,ADJ
واعٍ,aware,意识到的,ADJ
مُهْمِل,careless,粗心的,ADJ
فَوْضَوِيّ,messy,混乱的,ADJ
طَمُوح,ambitious,有抱负的,ADJ
مُتَفائِل,optimistic,乐观的,ADJ
مُتَشائِم,pessimistic,悲观的,ADJ
أنانِيّ,selfish,自私的,ADJ
وَفِيّ,loyal,忠诚的,ADJ
غَدَّار,treacherous,背信弃义的,ADJ
حَقُود,resentful,怀恨的,ADJ
فُضُولِيّ,curious,好奇的,ADJ
دَقِيق,precise,精确的,ADJ
صَرِيح,frank,坦率的,ADJ
مُرِن,flexible,灵活的,ADJ
عَنِيف,violent,暴力的,ADJ
طَمَّاع,greedy,贪婪的,ADJ
حَسُود,envious,嫉妒的,ADJ
نَصّاب,con artist,骗子,NOUN
ناضِج,mature,成熟的,ADJ
طائِش,reckless,鲁莽的,ADJ
رَزِين,composed,稳重的,ADJ
تكوين,training,培训,NOUN
رسب,to fail,不及格,VERB
طباشير,chalk,粉笔,NOUN
باكالوريا,baccalaureate,高中毕业会考,NOUN
منحة,scholarship,奖学金,NOUN
داخلية,boarding school,寄宿学校,NOUN
محاضرة,lecture,讲座,NOUN
ورشة,workshop,研讨会,NOUN
شعبة,branch of study,学科分支,NOUN
توجيه,orientation,指导,NOUN
انخراط,enrollment,注册,NOUN
فرض,class test,测验,NOUN
ميزة,distinction,优异,NOUN
إملاء,dictation,听写,NOUN
أجرة,wage,工资,NOUN
ترقية,promotion,晋升,NOUN
تقاعد,retirement,退休,NOUN
متقاعد,retired,退休的,ADJ
عاطل,unemployed,失业的,ADJ
حرفة,craft,手艺,NOUN
جراح,surgeon,外科医生,NOUN
